"","glaucus_Chemodetection","glaucus_Speed","nGlaucus","Total_Attacks","Total_LatchTime","Total_eaten","interaction","nPhysalia","density"
"1",0.01218103,0.00573958,250,0,0,0,17,250,1
"2",0.0085712,0.01336472,250,0,4,0,10,250,1
"3",0.01742593,0.00438446,250,0,0,0,36,250,1
"4",0.01841859,0.01581243,250,0,0,0,57,250,1
"5",0.00506312,0.0177354,250,0,5,0,5,250,1
"6",0.00748149,0.0026523,250,0,0,0,4,250,1
"7",0.00389548,0.0076487,250,2,0,0,1,250,1
"8",0.00102185,0.00995899,250,0,0,0,0,250,1
"9",0.00442628,0.01260668,250,2,14,0,4,250,1
"10",0.01582898,0.01192379,250,0,0,0,30,250,1
"11",0.01100122,0.01115748,250,0,5,0,15,250,1
"12",0.00938198,0.00175183,250,0,0,0,11,250,1
"13",0.00147997,0.01522291,250,1,0,0,0,250,1
"14",0.00776325,0.01493829,250,1,0,0,7,250,1
"15",0.01476305,0.00815993,250,3,0,0,72,250,1
"16",0.01649261,0.0034426,250,0,9,0,63,250,1
"17",0.01298192,0.01027202,250,1,0,0,21,250,1
"18",0.00311642,0.00448278,250,0,11,0,3,250,1
"19",0.01277804,0.0167904,250,1,9,0,26,250,1
"20",0.00711107,0.01961102,250,1,0,0,9,250,1
"21",0.00815566,0.00730763,250,0,0,0,7,250,1
"22",0.01514244,0.01612095,250,1,5,0,45,250,1
"23",0.01699204,0.00917427,250,0,6,0,58,250,1
"24",0.00325867,0.0146425,250,1,0,0,1,250,1
"25",0.00582546,0.00853302,250,1,0,0,2,250,1
"26",6.395e-05,0.01902386,250,1,0,0,0,250,1
"27",0.00412308,0.00206051,250,1,0,0,3,250,1
"28",0.01351602,0.00298296,250,1,3,0,39,250,1
"29",0.01190519,0.00645133,250,2,0,0,20,250,1
"30",0.01073631,0.01362464,250,2,4,0,25,250,1
"31",0.01763567,0.014165,250,0,0,0,38,250,1
"32",0.01412895,0.01941865,250,1,7,0,28,250,1
"33",0.0061991,0.01699642,250,0,0,0,4,250,1
"34",0.00207448,0.00704198,250,1,0,0,0,250,1
"35",0.00891776,0.00374935,250,0,0,0,13,250,1
"36",0.01904887,0.00559153,250,1,0,0,62,250,1
"37",0.01611687,0.00034146,250,1,4,0,41,250,1
"38",0.00644361,0.01200319,250,1,0,0,3,250,1
"39",0.01395009,0.01303007,250,0,0,0,17,250,1
"40",0.00547695,0.0048615,250,1,6,0,7,250,1
"41",0.01554146,0.00618314,250,0,5,0,28,250,1
"42",0.00198157,0.01145197,250,0,5,0,1,250,1
"43",0.01037799,0.01810936,250,2,0,0,22,250,1
"44",0.011208,0.00044238,250,0,7,0,18,250,1
"45",0.01935839,0.01043899,250,0,0,0,68,250,1
"46",0.00970582,0.00958599,250,3,6,0,14,250,1
"47",0.00260517,0.01721001,250,1,6,0,1,250,1
"48",0.01990456,0.00155866,250,0,0,0,43,250,1
"49",0.00042415,0.0010338,250,0,0,0,0,250,1
"50",0.0183732,0.01866501,250,0,0,0,55,250,1
