"","beached_glaucus","beached.phys.left","beached.phys.right"
"1",0,0,0
"2",0,0,0
"3",0,0,0
"4",0,0,0
"5",0,0,0
"6",0,0,0
"7",0,0,0
"8",0,0,0
"9",0,0,0
"10",0,0,0
"11",0,0,0
"12",0,0,0
"13",0,0,0
"14",0,0,0
"15",0,0,0
"16",0,0,0
"17",0,0,0
"18",0,0,0.00784313725490196
"19",0,0,0.0352941176470588
"20",0,0,0.101960784313725
"21",0,0,0.301960784313725
"22",0,0,0.549019607843137
"23",0,0,0.76078431372549
"24",0,0,0.917647058823529
"25",0,0,0.96078431372549
"26",0,0,0.972549019607843
"27",0,0,0.996078431372549
"28",0,0,0.996078431372549
"29",0,0,0.996078431372549
"30",0,0,0.996078431372549
"31",0,0,0.996078431372549
"32",0,0,0.996078431372549
"33",0,0,0.996078431372549
"34",0,0,0.996078431372549
"35",0,0.00408163265306122,0.996078431372549
"36",0,0.0163265306122449,0.996078431372549
"37",0,0.0244897959183673,0.996078431372549
"38",0,0.0857142857142857,0.996078431372549
"39",0,0.126530612244898,0.996078431372549
"40",0,0.2,0.996078431372549
"41",0,0.330612244897959,0.996078431372549
"42",0,0.579591836734694,0.996078431372549
"43",0,0.76734693877551,0.996078431372549
"44",0,0.951020408163265,1
"45",0,0.96734693877551,1
"46",0,0.995918367346939,1
"47",0,1,1
"48",0,1,1
"49",0,1,1
"50",0,1,1
"51",0,1,1
"52",0,1,1
"53",0,1,1
"54",0,1,1
"55",0,1,1
"56",0,1,1
"57",0,1,1
"58",0,1,1
"59",0,1,1
"60",0,1,1
"61",0,1,1
"62",0,1,1
"63",0,1,1
"64",0,1,1
"65",0,1,1
"66",0,1,1
"67",0,1,1
"68",0,1,1
"69",0,1,1
"70",0,1,1
"71",0,1,1
"72",0,1,1
"73",0,1,1
"74",0,1,1
"75",0,1,1
"76",0,1,1
"77",0,1,1
"78",0,1,1
"79",0,1,1
"80",0,1,1
"81",0,1,1
"82",0,1,1
"83",0,1,1
"84",0,1,1
"85",0,1,1
"86",0,1,1
"87",0,1,1
"88",0,1,1
"89",0,1,1
"90",0,1,1
"91",0,1,1
