glaucus_Chemodetection,glaucus_Speed
0.01218103,0.00573958
0.0085712,0.01336472
0.01742593,0.00438446
0.01841859,0.01581243
0.00506312,0.0177354
0.00748149,0.0026523
0.00389548,0.0076487
0.00102185,0.00995899
0.00442628,0.01260668
0.01582898,0.01192379
0.01100122,0.01115748
0.00938198,0.00175183
0.00147997,0.01522291
0.00776325,0.01493829
0.01476305,0.00815993
0.01649261,0.0034426
0.01298192,0.01027202
0.00311642,0.00448278
0.01277804,0.0167904
0.00711107,0.01961102
0.00815566,0.00730763
0.01514244,0.01612095
0.01699204,0.00917427
0.00325867,0.0146425
0.00582546,0.00853302
6.395e-5,0.01902386
0.00412308,0.00206051
0.01351602,0.00298296
0.01190519,0.00645133
0.01073631,0.01362464
0.01763567,0.014165
0.01412895,0.01941865
0.0061991,0.01699642
0.00207448,0.00704198
0.00891776,0.00374935
0.01904887,0.00559153
0.01611687,3.4146e-4
0.00644361,0.01200319
0.01395009,0.01303007
0.00547695,0.0048615
0.01554146,0.00618314
0.00198157,0.01145197
0.01037799,0.01810936
0.011208,4.4238e-4
0.01935839,0.01043899
0.00970582,0.00958599
0.00260517,0.01721001
0.01990456,0.00155866
4.2415e-4,0.0010338
0.0183732,0.01866501
